title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Middle Data Engineer,500000 - 800000 KZT,Астана,Dreamlab Technologies Ltd,17-11-2025 14:22:27,"Опыт работы в роли Data Engineer или Python-разработчика от 2 лет. Уверенное знание Python 3.x, умение писать чистый...","Оптимизация производительности пайплайнов и SQL-запросов. Участие в проектировании архитектуры data-инфраструктуры. Сотрудничество с <highlighttext>аналитиками</highlighttext>, разработчиками и Data Science командой.","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127786193
Middle Data Engineer,,Астана,ForteBank,20-11-2025 13:38:42,"Опыт работы с отчетами и пакетами бизнес-<highlighttext>аналитик</highlighttext> (IBM Cognos, Power BI). Навыки разработки на Python для автоматизации процессов. ","Разрабатывать, поддерживать и оптимизировать процессы интеграции и трансформации данных (ETL/ELT) в batch и streaming-режимах. Настраивать и сопровождать пайплайны...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127916813
Chief Data Officer,,Алматы,Unico,17-11-2025 08:51:10,"Ищем человека с большим фокусом на <highlighttext>аналитику</highlighttext> и ML (с инженерной частью поможем). Понимание архитектуры данных: data lake, data warehouse...",Разработка и реализация стратегии управления данными. Создание и развитие системы корпоративного управления данными (Data Governance). Управление архитектурой данных. Развитие <highlighttext>аналитики</highlighttext>...,"{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127759651
Data Engineer,700000 KZT,Алматы,Корпорация управления бизнесом (КУБ),17-11-2025 08:26:34,"Опыт построения DWH/ODS/Datamart. Базовое понимание BI (Power BI, Tableau) и работы <highlighttext>аналитиков</highlighttext>. Работа с API, парсинг (web scraping).",...обеспечения качества данных. Оптимизация производительности запросов и пайплайнов. Документирование архитектуры и схем данных. Поддержка BI-<highlighttext>аналитиков</highlighttext> и финансистов качественными датасетами.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127757648
Senior Data Analyst,,Алматы,Tekmates,20-11-2025 11:02:40,"Что мы хотим видеть. Опыт работы Data <highlighttext>Analyst</highlighttext> / BI Developer — от 4-х лет, из них минимум 3 года именно...","Проводить глубокий EDA-анализ: изучать источники данных, выявлять аномалии, строить гипотезы и подтверждать их статистическими методами. Разрабатывать продвинутую отчетность в...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127907518
Data инженер,600000 - 800000 KZT,Алматы,Airba Fresh,24-10-2025 09:24:30,...построения data pipeline и data warehousing. Умение самостоятельно вести свои задачи и управлять проектами. Умение обучать и передавать знания <highlighttext>аналитикам</highlighttext>.,"Проектирование и создание архитектуры данных. Создание процессов извлечения данных с источников и их хранения. Обеспечение полноты, качества и целостности данных. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126897853
Senior Data Engineer,1800000 - 1800000 KZT,Астана,Национальные информационные технологии,24-10-2025 12:57:44,"Опыт работы от 3 до 5 лет в роли Data Engineer, ETL-разработчика или аналогичной позиции. Отличное знание SQL и...","Настраивать автоматизацию и CI/CD для пайплайнов. Взаимодействовать с <highlighttext>аналитиками</highlighttext>, разработчиками и Data Scientists. Участвовать в проектировании архитектуры корпоративных данных...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126911360
Head of Data Analytics,,Алматы,FUN&SUN,13-11-2025 15:35:53,"Понимание продуктовой <highlighttext>аналитики</highlighttext> (когортный анализ, LTV/CAC, retention, A/B-тесты). Базовое знание бизнес-<highlighttext>аналитики</highlighttext>, построения KPI/OKR. ","Разрабатывать и реализовывать аналитическую стратегию компании. Управлять и развивать команду <highlighttext>аналитики</highlighttext>, инженеров данных и BI-разработчиков. Формировать data-driven культуру...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127643301
Data Analyst (Аналитик данных),,Алматы,Elite Business Group,20-11-2025 10:37:42,"Коммерческий опыт от 1 года и выше. Знание SQL, Python, машинного обучения (ML), навыки статистики, логическое мышление, аналитический склад ума. ",Разрабатываем цифровые продукты. Проводим <highlighttext>аналитику</highlighttext> и создаём понятные прототипы будущих решений. Обеспечиваем полное техническое сопровождение продуктов на всех этапах. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/125618557
Middle/Senior Data Analyst (Команда Kaspi Магазина),,Алматы,Kaspi.kz,17-11-2025 12:25:01,"Опыт работы в анализе клиентских данных от 3 лет, предпочтительно в e-commerce, fintech, телеком компаниях. Опыт в прогнозировании бизнес...",Погрузиться в экосистему Kaspi Магазина – крупнейшего e-commerce РК. Проверять продуктовые гипотезы и готовить <highlighttext>аналитику</highlighttext> для поддержки принятия бизнес решений. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127776625
Data analyst,,Алматы,Kaspi.kz,03-11-2025 15:58:32,"Опыт работы от 2 года+. Стек:SQL, Excel, математическая статистика, анализ данных без моделирования, анализ бизнес-процессов. Уверенные знания статистики...",Улучшать клиентский опыт в продуктах и сервисах. Проводить анализ роста вовлеченности клиента в продукты Kaspi.kz. Увеличение доступности и качества сервисов...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127255118
Аналитик / Data Scientist,,Алматы,«ФИНАНСОВЫЙ ХОЛДИНГ «РЕСПУБЛИКА»,17-11-2025 07:01:43,"Уверенный опыт работы с Python (pandas, scikit-learn и др.). Знание SQL и умение работать с базами данных. ","Подготавливать презентации и отчёты для руководства, доносить ценность AI-решений до бизнеса. Взаимодействовать с коллегами-разработчиками и <highlighttext>аналитиками</highlighttext> для внедрения...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/124494348
Data Analyst (офис),500000 - 800000 KZT,Алматы,BP Contact,22-10-2025 10:56:34,"Опыт: От 3 лет в роли <highlighttext>аналитика</highlighttext> данных (обязательно). Образование: Высшее (предпочтительно в области математики, статистики, ИТ, экономики). ",Автоматизация регулярной отчетности. Подготовка презентаций и визуализация <highlighttext>аналитики</highlighttext>. Взаимодействие с заказчиками: Сбор требований и помощь в интерпретации данных. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126812514
Главный Data аналитик,,Алматы,"Евразийский банк, АО",11-11-2025 11:31:05,"Уверенное владение инструментами SQL, Python, Excel. Умение работать с большими данными. Понимание статистики. Опыт работы в области анализа данных более...","Сбор, чистка, обработка и анализ клиентской базы. Нахождение паттернов, закономерностей и аномалий в данных. Умение приводить рекомендации для бизнеса. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127514880
