title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
Рекрутер,450000 - 550000 KZT,Алматы,Актуаль Клуб Оптика ЛТД,19-11-2025 12:54:53,Опыт работы на позиции рекрутера от 1 года. Опыт работы с различными каналами поиска. Знание техник/инструментов/тестов психологической оценки...,"Поиск и подбор сотрудников для 16 филиалов по всему Казахстану через различные каналы (работные сайты, соцсети, рекомендации и др.). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127405943
Ассистент отдела рекрутинга,,Алматы,Elite Business Group,07-11-2025 09:48:29,"Опыт в продажах или call-центре (опыт в рекрутинге будет преимуществом). Уверенные коммуникативные навыки, ответственность, внимательность. Готовность развиваться и достигать...",Поиск и первичный отбор кандидатов. Проведение телефонных интервью. Помощь рекрутерам в реализации проектов. Ведение и актуализация базы данных кандидатов.,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/123294919
Менеджер по подбору персонала,,Алматы,Elite Business Group,09-11-2025 10:55:15,"Опыт подбора от 1 года (in-house или агентство). Уверенную и грамотную речь, развитые коммуникативные навыки. Желание развиваться в HR...",Искать и привлекать лучших кандидатов. Проводить интервью и готовить профайлы. Взаимодействовать с клиентами и кандидатами. Участвовать во внутренних HR-проектах. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126391227
Рекрутер,200000 - 300000 KZT,Астана,Tomiris (ИП Валиев),18-11-2025 14:06:36,Опыт работы от 1 года в подборе персонала. Успешные закрытия вакансий холодным поиском. Навыки использования нестандартных инструментов подбора персонала будет...,Активный поиск и подбор специалистов. Своевременный разбор откликов и работа с ними. Работа с холодной базой кандидатов. Проведение первичных собеседований...,"{'id': 'remote', 'name': 'Удаленная работа'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127182714
Специалист по подбору персонала,,Алматы,Skill Hub,06-11-2025 14:21:47,Опыт подбора в массовом подборе от 2-х лет. Знание инструментов поиска и привлечения кандидатов. Грамотная устная и письменная речь.,Ведение полного цикла подбора персонала для дилерских центров. Взаимодействие с руководителями отделов по формированию профиля кандидата. Размещение вакансий. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127368863
Специалист по подбору персонала,,Шымкент,CAREER.KZ,10-11-2025 10:53:28,Среднее специальное/высшее образование. Желательно опыт работы не менее 1 года. Желание обучаться и быть ориентированным на результат личный и...,Поиск и подбор персонал. Работа с сайтами по поиску и подбору на актуальных джоб-площадках. Сопровождение стажеров во время стажировки. ,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127458510
IT-рекрутер,,Астана,IT Холдинг Kazdream,11-11-2025 08:32:19,"Опыт работы в подборе персонала в IT-направлении — от 2 лет. Умение оценивать как профессиональные навыки, так и личностный профиль...",Среди наших продуктов: 1. Сервис проверки контрагентов – kompra.kz. 2. Сервис поиска тендеров – zakupki.kz. 3. Программное обеспечение для кадровой и корпоративной...,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127113086
Ассистент HR-менеджера (подбор персонала),,Уральск,Sulpak,20-11-2025 13:32:21,"Старт для тех, кто готов получить опыт и знания! Примечание: Обязательно наличие диплома. Полезный опыт и рекомендации — для будущего трудоустройства.",Проводить телефонные интервью с кандидатами. Вносить данные в базу кандидатов. Помогать HR-менеджеру в подборе персонала. Осваивать инструменты рекрутинга.,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/126913207
Рекрутер на массовый подбор,,Алматы,Sary-Arka Copper Processing,19-11-2025 14:41:28,"Опыт работы в области подбора персонала будет преимуществом. Знание современных инструментов и каналов поиска кандидатов (работные сайты, соцсети, мессенджеры и...",Согласно переданным в работу заявкам на подбор персонала самостоятельно вести работу по поиску персонала на проекты роста. Проводить все этапы...,"{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126754671
Рекрутер (с опытом от 1 года),325000 - 325000 KZT,Алматы,М-Ломбард,17-11-2025 12:53:16,"Опыт в рекрутинге от 1 года. Опыт провождения собеседования. ​Желание развиваться в сфере HR. Грамотная речь, знание казахского и русского...",Вести подбор линейных специалистов. Размещать вакансии на сайтах и в соцсетях. Проводить интервью по компетенциям (оффлайн/онлайн). Организовывать собеседования с...,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Полная занятость,https://hh.ru/vacancy/126918434
HR-специалист/ Специалист отдела кадров (рекрутер),350000 - 400000 KZT,Алматы,GLAMOUR NAILS,20-11-2025 13:10:01,Высшее образование. Опыт работы в подборе персонала или HR не менее 2 лет. Отличное знание Трудового кодекса РК. ,"Размещение объявлений о вакансиях на различных платформах и ведение вакансий на всех этапах подбора персонала (поиск, первичный отбор, организация интервью). ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126912106
Специалист по подбору персонала,,Шымкент,ИТР СЕРВИСИЗ,19-11-2025 17:13:05,,"Определение потребности в персонале совместно с руководителями подразделений. Подготовка и публикация вакансий на сайтах, в соцсетях и других источниках. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127419567
