title,salary,city,job,publish_date,requirements,responsibilities,schedule,experience,employment,url
HR-директор / Директор по персоналу,,Кокшетау,"Astana Mall Trading,ТОО",19-11-2025 15:53:43,Опыт работы на аналогичной должности от 3–5 лет. * Успешный опыт построения HR-систем с нуля или трансформации существующих процессов. * ,"Участие в разработке и реализации HR-стратегии, направленной на поддержку и достижение бизнес-целей компании. * Участие в командной работе. * ","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127474268
HR Generalist / HR-менеджер,400000 - 600000 KZT,Астана,Мұхамеджан,01-11-2025 18:03:57,FM Online – ҰБТ-ға дайындық бойынша 4жыл қатарынан рекорд қойып келе жатқан онлайн курс. Адаптацияны жеңіл әрі түсінікті қылып...,,"{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127239652
HR-менеджер (рекрутинг),500000 KZT,Алматы,Рекрутинговое агентство CHANGE (ИП Куприянова),17-11-2025 09:26:42,Опыт работы в HR / рекрутинге от 3 лет. Уверенное владение современными инструментами и методами поиска. Понимание метрик и умение работать...,"Закрытие 1–2 ключевых позиций в месяц (менеджеры, офис, логистика, розница). Полный цикл рекрутинга: от профиля вакансии до предложения оффера. ","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127762108
Ассистент HR-менеджера,85000 - 90000 KZT,Семей,Sulpak,24-10-2025 07:52:09,Рассматриваются не обучающееся/ закончившие ВУЗ/колледж/техникум.,Проводить телефонные интервью. Работа с документацией.,"{'id': 'fullDay', 'name': 'Полный день'}",Нет опыта,Частичная занятость,https://hh.ru/vacancy/126894394
Ведущий HR менеджер,500000 KZT,Астана,Микрофинансовая организация «R-Finance»,03-11-2025 15:48:33,"С опытом работы в HR от 3 лет — особенно в обучении, адаптации, внутренних коммуникациях и корпоративных мероприятиях. С опытом координации...","Разрабатывать и курировать программы адаптации и вовлечённости сотрудников по всей филиальной сети, чтобы новички чувствовали поддержку и включались в культуру...","{'id': 'fullDay', 'name': 'Полный день'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/126254457
HR BP/HRD (Core Business Unit),,Алматы,Social Discovery Group,05-11-2025 23:13:07,4+ years of successful experience in a similar HR BP/HRD position in an international digital/IT/product company. ,"Ensure the effectiveness of the personnel within the business unit, ensuring that employees contribute to achieving the company's strategic...","{'id': 'remote', 'name': 'Удаленная работа'}",От 3 до 6 лет,Полная занятость,https://hh.ru/vacancy/127337721
HR-менеджер,350000 KZT,Алматы,Tree of the world Компания по поставке гостиничных товаров,12-11-2025 04:53:23,"Знание законодательства РК в сфере трудовых отношений, включая Трудовой кодекс и нормативные акты по кадровому делопроизводству. * Навыки рекрутинга: умение проводить...","Кадровое администрирование: ведение личных дел, оформление трудовых договоров, отпусков, больничных и увольнений. * Развитие персонала: организация обучения, адаптации, оценки эффективности сотрудников. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/126899484
Офис-менеджер / HR-специалист,,Астана,iMAS GROUP,19-11-2025 10:25:12,"Опыт работы в административной или HR-роли (желательно в IT-компании или сфере услуг). Отличные навыки планирования, коммуникации и организации. ","Организация эффективной работы офиса: контроль почты, звонков, заказ канцелярии, поддержание порядка и комфорта на рабочем месте. Координация встреч, организация корпоративных...","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127397306
People & Organisation (HR) Business Partner,,Алматы,Марс,18-11-2025 07:25:50,"Bachelor or Master degree. Fluent English. 3-5 years of experience in HR, as a Business Partner. Strong Standing Alone...",Help develop procedures for an area of the organization and monitor their implementation. Contribute to the drafting of Human Resources...,"{'id': 'fullDay', 'name': 'Полный день'}",Более 6 лет,Полная занятость,https://hh.ru/vacancy/126441845
HR-специалист / Менеджер по персоналу,300000 KZT,Костанай,Должник прав,18-11-2025 14:20:59,"Опыт работы в HR (желательно в сфере продажах, колл-центрах). Владение инструментами подбора и оценки персонала. Знание основ документооборота. ","Ведение полного цикла рекрутинга — от публикации вакансий до выхода сотрудника в штат. Проведение собеседований, оценка личностных и профессиональных качеств кандидатов. ","{'id': 'fullDay', 'name': 'Полный день'}",От 1 года до 3 лет,Полная занятость,https://hh.ru/vacancy/127183538
